date,Average temp (C), total population , total on-farm deaths , livestock slaughterings ,price,,,price = R3 steers in c/kg
Jul-12,14.3," 6,713,848 "," 12,874 "," 37,500 ",395,402.667,,
Aug-12,15.6," 6,620,673 "," 12,180 "," 48,500 ",385,391.729,,
Sep-12,11.9," 6,527,197 "," 11,623 "," 53,000 ",380,384.271,,
Oct-12,8.5," 6,400,735 "," 14,583 "," 66,500 ",375,382.553,,
Nov-12,6.1," 6,281,384 "," 16,079 "," 50,800 ",390,397.357,,
Dec-12,5.2," 6,191,857 "," 16,366 "," 32,500 ",395,399.959,,
Jan-13,5.1," 6,232,951 "," 19,707 "," 36,900 ",407,397.591,,
Feb-13,4.3," 6,538,981 "," 27,920 "," 36,100 ",410,375.273,,
Mar-13,3.1," 6,780,467 "," 42,948 "," 35,100 ",430,367.820,,
Apr-13,6.9," 6,903,500 "," 44,916 "," 40,200 ",435,388.291,,
May-13,10," 6,909,823 "," 32,276 "," 37,200 ",440,392.115,,
Jun-13,13.5," 6,857,487 "," 17,483 "," 30,300 ",450,378.996,,
Jul-13,17.8," 6,753,187 "," 13,837 "," 44,500 ",420,370.319,,
Aug-13,15.9," 6,660,004 "," 10,792 "," 44,000 ",413,374.115,,
Sep-13,13.2," 6,547,120 "," 10,582 "," 62,200 ",405,389.955,,
Oct-13,11.8," 6,425,944 "," 11,655 "," 68,200 ",395,382.304,,
Nov-13,6.2," 6,308,581 "," 12,403 "," 56,600 ",400,388.294,,
Dec-13,6.8," 6,212,293 "," 11,723 "," 41,900 ",400,393.833,,
Jan-14,5.5," 6,232,222 "," 13,365 "," 42,100 ",400,376.211,,
Feb-14,5.6," 6,498,212 "," 19,320 "," 35,700 ",390,369.598,,
Mar-14,6.8," 6,725,448 "," 28,626 "," 42,500 ",387,371.428,,
Apr-14,9.5," 6,863,075 "," 29,947 "," 47,700 ",385,389.657,,
May-14,11.6," 6,869,741 "," 24,801 "," 42,800 ",386,382.250,,
Jun-14,13.9," 6,807,879 "," 15,880 "," 40,400 ",378,364.153,,
