date,Average temp (C), total population , total on-farm deaths , livestock slaughterings ,price
Jul-12,14.3,6713848,12874,37500,395
Aug-12,15.6,6620673,12180,48500,385
Sep-12,11.9,6527197,11623,53000,380
Oct-12,8.5,6400735,14583,66500,375
Nov-12,6.1,6281384,16079,50800,390
Dec-12,5.2,6191857,16366,32500,395
Jan-13,5.1,6232951,19707,36900,407
Feb-13,4.3,6538981,27920,36100,410
Mar-13,3.1,6780467,42948,35100,430
Apr-13,6.9,6903500,44916,40200,435
May-13,10,6909823,32276,37200,440
Jun-13,13.5,6857487,17483,30300,450
Jul-13,17.8,6753187,13837,44500,420
Aug-13,15.9,6660004,10792,44000,413
Sep-13,13.2,6547120,10582,62200,405
Oct-13,11.8,6425944,11655,68200,395
Nov-13,6.2,6308581,12403,56600,400
Dec-13,6.8,6212293,11723,41900,400
Jan-14,5.5,6232222,13365,42100,400
Feb-14,5.6,6498212,19320,35700,390
Mar-14,6.8,6725448,28626,42500,387
Apr-14,9.5,6863075,29947,47700,385
May-14,11.6,6869741,24801,42800,386
Jun-14,13.9,6807879,15880,40400,378
Jul-14,16.3,6711975,12824,48600,365
Aug-14,13.9,6604318,10398,60200,360
Sep-14,13.7,6483861,10181,75900,355
Oct-14,11.1,6364174,10615,73100,360
Nov-14,7.5,6254077,11856,59100,370
Dec-14,5.3,6135172,12853,48500,383
Jan-15,4.6,6179846,13419,44200,395
Feb-15,3.8,6525078,19924,45500,405
Mar-15,5.8,6775726,30295,53600,404
Apr-15,8.1,6930537,29841,51800,408
May-15,9.8,6964212,24126,44200,405
Jun-15,13.3,6915862,16350,42800,415
Jul-15,14.3,6823378,12061,54900,419
Aug-15,14.2,6732285,10345,59400,400
Sep-15,12,6633072,9977,69300,386
Oct-15,10.3,6536680,9831,64900,379
Nov-15,8.5,6430704,11328,60200,379
Dec-15,8.5,6328229,13385,45200,379
Jan-16,5.9,6393795,15070,43800,379
Feb-16,4.5,6776727,23711,49000,380
Mar-16,5.9,7040126,34833,50900,381
Apr-16,6.6,7191604,34654,45800,386
May-16,11.4,7226304,27151,43800,395
Jun-16,14.2,7167722,17354,41300,398
Jul-16,15.7,7080796,13798,49100,380
Aug-16,15.6,6975725,12537,62900,377
Sep-16,14.3,6861089,12088,72600,370
Oct-16,10.5,6753272,13055,65700,359
Nov-16,5.3,6620577,14486,60600,357
Dec-16,6.7,6503805,13787,44600,365
Jan-17,6,6535335,14326,46000,371
Feb-17,6,6939453,21788,47100,372
Mar-17,8,7206889,34364,54800,378
Apr-17,8.3,7369299,29744,46700,392
May-17,12.4,7371497,25008,48000,402
Jun-17,14.4,7291747,16590,51700,403
Jul-17,15.3,7192030,13104,57100,396
Aug-17,14.7,7066607,11640,73500,379
Sep-17,12.5,6952205,12276,76800,372
Oct-17,11.2,6831325,13829,72800,367
Nov-17,6.2,6684037,15832,65700,369
Dec-17,5.2,6563910,15510,44300,388
Jan-18,5.2,6600477,17149,48600,389
Feb-18,3.4,7017022,24612,46100,386
Mar-18,4.5,7261237,43881,50400,391
Apr-18,8.5,7378696,40204,51500,398
May-18,12,7356763,32347,50700,405
Jun-18,15.5,7273835,18408,46000,408
Jul-18,16.8,7145981,14381,60200,389
Aug-18,15.6,7015098,12147,67100,379
Sep-18,12.3,6889387,10992,69200,367
Oct-18,9.2,6748904,13139,73700,367
Nov-18,8.3,6595397,13758,68200,366
Dec-18,7.9,6483043,12811,41300,368
Jan-19,5.2,6469980,13309,49600,367
Feb-19,7.2,6872393,19950,46100,367
Mar-19,7.1,7132396,30705,49600,366
Apr-19,8.4,7230359,32158,50600,366
May-19,10.9,7208665,23819,47700,385
Jun-19,12.9,7139123,16224,42400,380
Jul-19,16.3,7013385,13385,57300,352
Aug-19,15.6,6914353,11718,57500,344
Sep-19,13,6850377,11666,41400,344
Oct-19,9.1,6710012,13965,75700,345
Nov-19,6,6557953,15203,67200,343
Dec-19,6.1,6430601,14836,48100,349
Jan-20,6.1,6380673,15739,52200,360
Feb-20,5.8,6758818,23041,51900,366
Mar-20,6.3,7004846,39628,56300,367
Apr-20,9.8,7212329,32544,45600,341
May-20,12,7264440,22745,43200,355
Jun-20,13.7,7194027,15997,57500,361
Jul-20,13.8,7068719,12979,68500,368
Aug-20,15.6,6941532,12226,69300,370
Sep-20,13,6812948,12366,73300,363
Oct-20,9.7,6674372,13428,73000,362
Nov-20,8.1,6536879,13814,60600,360
Dec-20,5,6407718,13750,46800,371
